ISO2,Country,Region,Emissions_scope,Warming_scenario,Probability_of_reach,Budget_source,Budget_distribution_scenario,Years_to_neutrality,Neutrality_year,Latest_year,Latest_annual_CO2_emissions_Mt,Latest_cumulative_CO2_emissions_Mt,Latest_cumulative_population,Share_of_cumulative_population,Population_2050,Share_of_total_population_2050,Global_Carbon_budget,Country_carbon_budget,scenario_id
AF,Afghanistan,Southern Asia,Consumption,1.5°C,50%,Lamboll,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,247000,,117
AF,Afghanistan,Southern Asia,Consumption,1.5°C,50%,Foster,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,250000,2004.7749762364363,118
AF,Afghanistan,Southern Asia,Consumption,1.5°C,50%,Foster,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,250000,,119
AF,Afghanistan,Southern Asia,Consumption,1.5°C,50%,Foster,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,250000,,120
AF,Afghanistan,Southern Asia,Consumption,1.5°C,67%,Lamboll,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,60000,481.14599429674473,121
AF,Afghanistan,Southern Asia,Consumption,1.5°C,67%,Lamboll,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,60000,,122
AF,Afghanistan,Southern Asia,Consumption,1.5°C,67%,Lamboll,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,60000,,123
AF,Afghanistan,Southern Asia,Consumption,1.5°C,67%,Foster,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,150000,1202.8649857418618,124
AF,Afghanistan,Southern Asia,Consumption,1.5°C,67%,Foster,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,150000,,125
AF,Afghanistan,Southern Asia,Consumption,1.5°C,67%,Foster,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,150000,,126
AF,Afghanistan,Southern Asia,Consumption,2°C,33%,Lamboll,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1603000,12854.617147628029,127
AF,Afghanistan,Southern Asia,Consumption,2°C,33%,Lamboll,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1603000,,128
AF,Afghanistan,Southern Asia,Consumption,2°C,33%,Lamboll,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1603000,,129
AF,Afghanistan,Southern Asia,Consumption,2°C,33%,Foster,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1450000,11627.69486217133,130
AF,Afghanistan,Southern Asia,Consumption,2°C,33%,Foster,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1450000,,131
AF,Afghanistan,Southern Asia,Consumption,2°C,33%,Foster,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1450000,,132
AF,Afghanistan,Southern Asia,Consumption,2°C,50%,Lamboll,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1219000,9775.282784128864,133
AF,Afghanistan,Southern Asia,Consumption,2°C,50%,Lamboll,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1219000,,134
AF,Afghanistan,Southern Asia,Consumption,2°C,50%,Lamboll,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1219000,,135
AF,Afghanistan,Southern Asia,Consumption,2°C,50%,Foster,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1150000,9221.964890687606,136
AF,Afghanistan,Southern Asia,Consumption,2°C,50%,Foster,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,1150000,,137
